Id,Country,Short Name,ISO Code,Year,RLE_Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Code,Productivity,Country Code,Indicator Name,Indicator Code,INV_Score
49,Ecuador,Ecuador,EC,2019,46.9,35.9,20.2,25.3,77.0,55.5,32.1,54.1,48.2,73.5,66.4,35.0,40.0,ECU,15.255215,ECU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.889930217843528
54,Estonia,Estonia,EE,2019,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90.0,70.0,EST,37.103794,EST,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.4118706380128
57,Finland,Finland,FI,2019,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85.0,80.0,FIN,58.440796,FIN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.82618049012332
58,France,France,FR,2019,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75.0,70.0,FRA,68.63126,FRA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.47738689344385
62,Germany,Germany,DE,2019,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80.0,70.0,DEU,68.8512,DEU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.37360865584494
64,Greece,Greece,GR,2019,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55.0,50.0,GRC,33.032787,GRC,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,10.687210160774608
72,Hungary,Hungary,HU,2019,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80.0,70.0,HUN,34.83344,HUN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,27.007953961954208
73,Iceland,Iceland,IS,2019,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85.0,70.0,ISL,64.24422,ISL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.298100790162838
74,India,India,IN,2019,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40.0,40.0,IND,8.680879,IND,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,28.581251675224983
75,Indonesia,Indonesia,ID,2019,65.8,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45.0,60.0,IDN,11.843272,IDN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,32.34688455185463
78,Ireland,Ireland,IE,2019,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90.0,70.0,IRL,125.09254,IRL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,54.304366894965284
79,Israel,Israel,IL,2019,72.8,80.0,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75.0,70.0,ISR,40.870785,ISR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.65647741258847
80,Italy,Italy,IT,2019,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85.0,50.0,ITA,56.090836,ITA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,17.98923940882148
82,Japan,Japan,JP,2019,72.1,84.1,68.5,78.0,68.2,55.0,55.7,80.5,79.0,85.9,80.0,70.0,60.0,JPN,42.56412,JPN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.572864890261478
87,"Korea, Republic of",NorthKorea,KP,2019,5.9,31.6,5.0,24.4,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,KOR,40.768528,KOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,30.085875377065847
88,"Korea, Republic of",SouthKorea,KR,2019,72.3,79.3,57.5,50.5,64.2,68.6,96.8,91.3,57.4,82.0,80.4,70.0,70.0,KOR,40.768528,KOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,30.085875377065847
92,Latvia,Latvia,LV,2019,70.4,67.3,48.4,35.5,77.0,57.1,96.9,77.5,73.3,81.1,86.0,85.0,60.0,LVA,33.538006,LVA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.14806276483202
98,Lithuania,Lithuania,LT,2019,74.2,73.6,61.2,47.8,86.4,65.1,97.3,75.2,63.6,84.6,86.0,80.0,70.0,LTU,34.452484,LTU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.43135886512665
99,Luxembourg,Luxembourg,LU,2019,75.9,83.0,72.4,85.8,65.4,46.6,98.9,68.8,45.9,82.6,86.0,95.0,80.0,LUX,80.32644,LUX,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,17.402402760604378
104,Malaysia,Malaysia,MY,2019,74.0,84.1,68.2,55.4,85.6,83.2,82.4,83.9,74.4,78.6,82.0,60.0,50.0,MYS,24.75438,MYS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.936754414842493
107,Malta,Malta,MT,2019,68.6,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86.0,85.0,60.0,MLT,40.627483,MLT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.49630193836801
110,Mexico,Mexico,MX,2019,64.7,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75.0,60.0,MEX,20.339481,MEX,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.60803389503016
119,Netherlands,Netherlands,NL,2019,76.8,88.0,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84.0,86.0,90.0,80.0,NLD,69.77961,NLD,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.254158697751073
120,New Zealand,NewZealand,NZ,2019,84.4,95.0,83.5,96.7,71.0,50.4,98.6,91.0,86.7,87.5,92.4,80.0,80.0,NZL,44.547375,NZL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.40176622927644
124,Norway,Norway,NO,2019,73.0,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75.0,60.0,NOR,100.325645,NOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,26.876786874867403
126,Pakistan,Pakistan,PK,2019,55.0,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55.0,40.0,PAK,8.772413,PAK,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,13.789644969002406
130,Peru,Peru,PE,2019,67.8,56.1,34.0,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75.0,60.0,PER,11.008161,PER,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.964350957500418
131,Philippines,Philippines,PH,2019,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60.0,60.0,PHL,9.929681,PHL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,27.15512521300118
132,Poland,Poland,PL,2019,67.8,62.3,44.0,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86.0,80.0,70.0,POL,37.07774,POL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.91708601122486
133,Portugal,Portugal,PT,2019,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83.0,86.0,70.0,60.0,PRT,35.147415,PRT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.10622778013554
135,Romania,Romania,RO,2019,68.6,66.7,51.9,39.8,89.7,69.0,89.3,63.1,64.5,82.7,86.0,70.0,50.0,ROU,34.723377,ROU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.97937966596183
136,Russian Federation,Russia,RU,2019,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30.0,30.0,RUS,29.547054,RUS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.90234042494957
147,Singapore,Singapore,SG,2019,89.4,97.4,92.4,95.1,90.4,90.7,80.0,90.8,91.0,85.3,94.8,85.0,80.0,SGP,54.55258,SGP,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.925739511487155
149,Slovenia,Slovenia,SI,2019,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86.0,70.0,50.0,SVN,42.50005,SVN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,19.565155488258554
151,South Africa,SouthAfrica,ZA,2019,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45.0,50.0,ZAF,17.969189,ZAF,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,15.417721934175399
151,South Africa,SouthAfrica,ZA,2019,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45.0,50.0,ZAF,17.969189,SSF,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.19756282220813
151,South Africa,SouthAfrica,ZA,2019,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45.0,50.0,ZAF,17.969189,TSS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.19756282220813
151,South Africa,SouthAfrica,ZA,2019,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45.0,50.0,ZAF,17.969189,SSA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.20132269388507
152,Spain,Spain,ES,2019,65.7,72.9,51.4,51.9,62.3,46.2,51.1,66.8,57.8,87.5,86.0,85.0,70.0,ESP,56.31081,ESP,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.032067108091205
153,Sri Lanka,SriLanka,LK,2019,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40.0,40.0,LKA,18.01952,LKA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,28.5461677260146
157,Sweden,Sweden,SE,2019,75.2,89.5,84.0,88.0,43.2,26.7,96.6,88.0,53.9,82.0,86.0,85.0,80.0,SWE,65.53587,SWE,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.40976239989591
158,Switzerland,Switzerland,CH,2019,81.9,85.3,82.0,88.0,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85.0,90.0,CHE,82.918655,CHE,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,26.622204186625243
163,Thailand,Thailand,TH,2019,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83.0,55.0,60.0,THA,15.167234,THA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.567376557437537
174,United Kingdom,UnitedKingdom,GB,2019,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90.0,80.0,GBR,54.34881,GBR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,17.85285397981011
175,United States,UnitedStates,US,2019,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85.0,80.0,USA,73.7004,USA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.978794303100265
176,Uruguay,Uruguay,UY,2019,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85.0,30.0,URY,28.378277,URY,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,15.40433298773494
180,Viet Nam,Vietnam,VN,2019,55.3,49.8,40.3,34.0,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30.0,40.0,VNM,6.739149,VNM,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,30.362568637118535
5,Argentina,Argentina,AR,2018,52.3,40.8,44.5,32.6,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,ARG,30.952593,ARG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,15.25104950016068
7,Australia,Australia,AU,2018,80.9,78.7,93.4,77.4,63.0,61.2,84.3,89.1,79.7,87.4,86.2,80.0,90.0,AUS,61.878532,AUS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.390288906918624
8,Austria,Austria,AT,2018,71.8,83.5,80.9,73.5,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0,AUT,65.06293,AUT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.095129262390834
12,Bangladesh,Bangladesh,BD,2018,55.1,32.4,32.6,21.2,72.7,94.2,78.9,52.1,66.4,69.0,61.2,50.0,30.0,BGD,4.59153,BGD,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,31.82257477044314
15,Belgium,Belgium,BE,2018,67.5,81.2,69.5,70.9,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0,BEL,66.245094,BEL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.62267384384507
22,Brazil,Brazil,BR,2018,51.4,55.8,55.5,31.4,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50.0,50.0,BRA,19.362707,BRA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,15.096911959653584
23,Bulgaria,Bulgaria,BG,2018,68.3,63.6,42.5,38.2,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0,BGR,26.212673,BGR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.75483844173142
27,Cambodia,Cambodia,KH,2018,58.7,36.0,24.5,17.7,89.8,86.5,92.1,30.6,57.7,79.7,80.3,60.0,50.0,KHM,3.2637424,KHM,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.55102952773119
29,Canada,Canada,CA,2018,77.7,87.5,77.1,78.3,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80.0,80.0,CAN,56.634796,CAN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.514706987429285
33,Chile,Chile,CL,2018,75.2,67.9,63.4,61.2,78.0,81.3,91.7,72.4,60.4,82.4,88.7,85.0,70.0,CHL,28.114603,CHL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.049792647374627
34,China,China,CN,2018,57.8,46.7,65.4,47.3,70.4,71.6,85.9,54.9,61.4,71.4,73.2,25.0,20.0,CHN,11.380233,CHN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,42.84303113615493
34,China,China,CN,2018,57.8,46.7,65.4,47.3,70.4,71.6,85.9,54.9,61.4,71.4,73.2,25.0,20.0,CHN,11.380233,HKG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.599518097614155
34,China,China,CN,2018,57.8,46.7,65.4,47.3,70.4,71.6,85.9,54.9,61.4,71.4,73.2,25.0,20.0,CHN,11.380233,MAC,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,16.728622869345237
35,Colombia,Colombia,CO,2018,68.9,60.7,36.4,33.4,80.3,74.4,82.2,78.6,75.2,73.9,81.6,80.0,70.0,COL,16.24981,COL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.22787107799117
39,Costa Rica,CostaRica,CR,2018,65.6,54.8,57.8,51.8,79.3,88.9,46.8,68.3,50.3,85.0,84.7,70.0,50.0,CRI,19.487766,CRI,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.202866759705582
41,Croatia,Croatia,HR,2018,61.0,65.9,56.5,40.5,66.0,32.5,67.2,58.9,43.0,79.1,87.4,75.0,60.0,HRV,32.155815,HRV,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.063805869890164
43,Cyprus,Cyprus,CY,2018,67.8,71.2,56.7,41.3,75.2,52.9,79.3,77.0,55.7,83.0,86.9,75.0,60.0,CYP,41.64566,CYP,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.781324833870393
45,Denmark,Denmark,DK,2018,76.6,84.8,83.6,84.1,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90.0,80.0,DNK,73.471725,DNK,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.72730153689137
48,Dominican Republic,DominicanRepublic,DO,2018,61.6,51.7,23.1,26.2,84.6,90.6,90.5,53.2,54.3,77.1,72.4,75.0,40.0,DOM,17.066357,DOM,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.780957175634793
49,Ecuador,Ecuador,EC,2018,48.5,36.7,23.3,30.2,79.4,52.5,47.0,55.6,43.7,70.1,68.8,35.0,40.0,ECU,15.304225,ECU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.583088779822706
54,Estonia,Estonia,EE,2018,78.8,80.4,83.9,75.7,80.7,52.6,99.8,75.6,54.8,85.1,86.9,90.0,80.0,EST,35.467113,EST,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,27.094895545981178
57,Finland,Finland,FI,2018,74.1,89.0,82.7,89.8,66.5,2.3,81.1,89.9,50.5,86.0,86.9,85.0,80.0,FIN,58.10097,FIN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.075010065877958
58,France,France,FR,2018,63.9,84.0,72.7,65.1,47.3,2.7,60.8,80.2,45.0,81.6,81.9,75.0,70.0,FRA,68.86071,FRA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.892634301271187
62,Germany,Germany,DE,2018,74.2,81.0,78.0,75.3,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80.0,70.0,DEU,69.22487,DEU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.065206733126328
64,Greece,Greece,GR,2018,57.3,52.3,59.0,37.9,60.4,20.9,70.5,74.4,54.4,81.0,81.9,55.0,40.0,GRC,32.902008,GRC,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,11.14774842597094
72,Hungary,Hungary,HU,2018,66.7,57.6,57.1,36.4,78.6,29.4,82.4,61.8,68.7,91.6,86.9,80.0,70.0,HUN,33.815914,HUN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.7310703280629
73,Iceland,Iceland,IS,2018,77.0,86.7,72.6,77.3,72.1,44.2,94.3,89.5,61.8,81.7,88.5,85.0,70.0,ISL,60.209545,ISL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.00268579526716
74,India,India,IN,2018,54.5,55.4,54.3,47.2,79.4,77.7,13.2,56.4,41.8,75.9,72.4,40.0,40.0,IND,8.536673,IND,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,29.463068141779768
75,Indonesia,Indonesia,ID,2018,64.2,49.3,45.2,42.8,83.7,90.7,89.4,57.3,50.3,81.6,80.5,40.0,60.0,IDN,11.730033,IDN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,32.28849708956937
78,Ireland,Ireland,IE,2018,80.4,87.7,79.0,79.0,76.1,69.6,80.8,81.8,76.4,87.4,86.9,90.0,70.0,IRL,112.76292,IRL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,28.392955680135444
79,Israel,Israel,IL,2018,72.2,78.2,83.1,61.2,60.9,51.8,79.0,71.8,65.1,85.3,85.5,75.0,70.0,ISR,40.3151,ISR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.232060020204077
80,Italy,Italy,IT,2018,62.5,71.2,60.9,40.1,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85.0,50.0,ITA,56.152653,ITA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,17.846136979793055
82,Japan,Japan,JP,2018,72.3,86.0,73.2,79.2,67.4,54.1,49.3,81.7,79.2,85.4,82.3,70.0,60.0,JPN,41.73783,JPN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.2207196988354
87,"Korea, Republic of",NorthKorea,KP,2018,5.8,29.8,5.0,25.2,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,KOR,40.092373,KOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,30.375589916428925
88,"Korea, Republic of",SouthKorea,KR,2018,73.8,79.4,63.7,49.9,73.3,68.8,97.0,90.7,58.7,83.9,80.4,70.0,70.0,KOR,40.092373,KOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,30.375589916428925
92,Latvia,Latvia,LV,2018,73.6,68.3,58.9,45.4,84.0,59.0,95.3,80.1,72.5,87.3,86.9,85.0,60.0,LVA,32.110943,LVA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.118241767830998
98,Lithuania,Lithuania,LT,2018,75.3,73.8,66.7,50.9,86.4,63.9,96.7,73.4,64.5,89.9,86.9,80.0,70.0,LTU,33.26906,LTU,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.940067396347764
99,Luxembourg,Luxembourg,LU,2018,76.4,82.7,77.9,79.0,65.1,48.5,99.0,69.2,46.2,87.6,86.9,95.0,80.0,LUX,79.94896,LUX,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,16.203412162811752
104,Malaysia,Malaysia,MY,2018,74.5,83.8,65.2,54.8,85.6,81.3,80.7,83.9,75.8,85.6,87.4,60.0,50.0,MYS,24.144674,MYS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.20048903133116
107,Malta,Malta,MT,2018,68.5,68.1,62.8,49.9,64.7,51.0,90.0,64.0,61.1,78.8,86.9,85.0,60.0,MLT,41.81593,MLT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.261675028946353
110,Mexico,Mexico,MX,2018,64.8,58.6,39.0,26.9,75.7,78.1,69.8,67.5,59.8,79.2,88.0,75.0,60.0,MEX,20.987122,MEX,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.01557246632751
119,Netherlands,Netherlands,NL,2018,76.2,87.9,74.1,86.0,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90.0,80.0,NLD,70.12136,NLD,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,20.425795265295154
120,New Zealand,NewZealand,NZ,2018,84.2,95.1,88.4,95.7,70.5,49.5,98.3,91.5,84.4,90.0,87.4,80.0,80.0,NZL,42.714916,NZL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.511476298204208
124,Norway,Norway,NO,2018,74.3,86.4,86.0,93.6,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75.0,60.0,NOR,103.562225,NOR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.925940516052787
